"order";"type";"ID";"project_name";"track_name";"caption_1";"caption_2";"caption_3";"W";"H";"tag1";"tag2";"tag3"
"11";"youtube";"te--ZwDdX2s";"TV";"CCTV 1";"";"";"";"16";"9";"Design";"";""
"10";"youtube";"Nyv6RF59DcE";"TV";"CCTV 2";"";"";"";"16";"9";"Design";"";""
"9";"youtube";"0fFwZyIGHCI";"TV";"CCTV 3";"";"";"";"16";"9";"Design";"";""
"8";"youtube";"G8w_IgGQBuM";"TV";"CCTV 4";"";"";"";"16";"9";"Design";"";""
"7";"youtube";"wZbIgsJeKt0";"HudŽur";"Dr.Fig";"";"";"";"16";"9";"Song";"";""
"6";"youtube";"LpOhVw-RDWg";"Car";"demo";"BRAVE HURTS RACE";"INCREDIBLE";"ALFA IS THE BEST";"16";"9";"Cinematic";"";""
"5";"youtube";"wZS4assNpXc";"Car";"demo";"VENICE DRIVE";"WIN OR LOOSE";"";"16";"9";"Cinematic";"";""
"4";"youtube";"2n4W5fNR4lE";"Broadcast";"Reel 2025";"Sinhronos";"";"";"16";"9";"Cinematic";"";""
"3";"Image";"pst_01.jpg";"HudŽur";"Pustolovci";"WIN OR LOOSE";"BRAVE HURTS RACE";"VENICE DRIVE";"";"";"Song";"";""
"2";"youtube";"NaeCX4ZQ1S0";"HudŽur";"Solze";"HUDŽUR";"VEČERNE SOLZE";"2026";"16";"9";"Song";"";""
"1";"youtube";"xBsBFR3T_t0";"HudŽur";"Pustolovci";"HUDŽUR";"PUSTOLOVCI";"2026";"16";"9";"Song";"";""
